sl.no.,isbn,title,series_title,series_release_number,authors,publisher,language,num_pages,format,genres,publication_date,rating_score,num_ratings,num_reviews,current_readers,want_to_read,price,url,ISBN10
64,9780375727436,"Hateship, Friendship, Courtship, Loveship, Marriage: Stories",,,Alice Munro,Knopf Doubleday Publishing Group,English,323,Paperback,"['Short Stories', 'Fiction', 'Canada', 'Literary Fiction', 'Contemporary', 'Nobel Prize', 'Literature']","September 25, 2001",4.04,19706.0,1911.0,1628.0,25400.0,12.99,https://www.goodreads.com/book/show/111126.Hateship_Friendship_Courtship_Loveship_Marriage,0375727434
65,9780756400606,The Gates of Sleep ,Elemental Masters,3,Mercedes Lackey,DAW,English,389,Hardcover,"['Fantasy', 'Fiction', 'Fairy Tales', 'Magic', 'Romance', 'Historical Fiction', 'Science Fiction Fantasy']","January 1, 2002",3.88,8635.0,271.0,216.0,2570.0,5.99,https://www.goodreads.com/book/show/847809.The_Gates_of_Sleep,0756400600
66,9780425183755,Blood Lure ,Anna Pigeon,9,Nevada Barr,Berkley,English,333,Mass Market Paperback,"['Mystery', 'Fiction', 'Mystery Thriller', 'Thriller', 'Crime', 'Suspense', 'Audiobook']","January 1, 2001",3.91,7922.0,489.0,283.0,1490.0,8.99,https://www.goodreads.com/book/show/86446.Blood_Lure,0425183750
67,9781882968336,The Separation,,,Christopher Priest,OLD EARTH BOOKS,English,338,Hardcover,"['Science Fiction', 'Fiction', 'Alternate History', 'Historical Fiction', 'Fantasy', 'War', 'World War II']","January 1, 2002",3.67,1243.0,125.0,40.0,631.0,9.99,https://www.goodreads.com/book/show/106921.The_Separation,1882968336
68,,Harry Potter and the Order of the Phoenix ,Harry Potter,5,J.K. Rowling,Scholastic Inc.,English,912,Paperback,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure']","June 21, 2003",4.5,3340606.0,62244.0,75600.0,514000.0,0.0,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,
69,,The Kite Runner,,,Khaled Hosseini,Riverhead Books,English,371,Paperback,"['Fiction', 'Historical Fiction', 'Contemporary', 'Novels', 'Historical', 'Literature', 'Adult']","May 29, 2003",4.34,3113486.0,96563.0,45200.0,1000000.0,13.99,https://www.goodreads.com/book/show/77203.The_Kite_Runner,
70,9780743222259,Living History,,,Hillary Rodham Clinton,Scribner,English,567,Paperback,"['Nonfiction', 'Biography', 'Politics', 'Memoir', 'History', 'Autobiography', 'Biography Memoir']","June 9, 2003",3.76,33708.0,1159.0,839.0,29400.0,15.99,https://www.goodreads.com/book/show/56073.Living_History,0743222253
71,9780060988654,Mirror Mirror,,,Gregory Maguire,Regan Books,English,280,Paperback,"['Fantasy', 'Fiction', 'Fairy Tales', 'Historical Fiction', 'Retellings', 'Adult', 'Historical']","October 14, 2003",3.29,31215.0,1787.0,432.0,20900.0,13.99,https://www.goodreads.com/book/show/15858.Mirror_Mirror,0060988657
72,9780965900584,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",,,Brian Greene,Alfred Knopf,English,569,Paperback,"['Science', 'Nonfiction', 'Physics', 'Astronomy', 'Popular Science', 'Space', 'Philosophy']","February 10, 2004",4.12,38515.0,1166.0,3292.0,90500.0,11.99,https://www.goodreads.com/book/show/22435.The_Fabric_of_the_Cosmos,0965900584
73,,Darkly Dreaming Dexter ,Dexter,1,Jeff Lindsay,Vintage Books,English,288,Paperback,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Horror', 'Mystery Thriller', 'Suspense']","May 5, 2004",3.9,205747.0,7429.0,3755.0,126000.0,12.99,https://www.goodreads.com/book/show/17231.Darkly_Dreaming_Dexter,
74,9780446617093,Dance of Death ,"Pendergast, Diogenes","6,2",Douglas Preston,Warner Books,English,560,Mass Market Paperback,"['Thriller', 'Mystery', 'Fiction', 'Horror', 'Suspense', 'Mystery Thriller', 'Crime']","June 1, 2005",4.19,32881.0,1204.0,913.0,7067.0,8.99,https://www.goodreads.com/book/show/136638.Dance_of_Death,0446617091
75,9780060572990,Every Which Way But Dead ,The Hollows,3,Kim Harrison,HarperTorch,English,501,Mass Market Paperback,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Vampires', 'Witches', 'Magic', 'Fiction']","June 28, 2005",4.28,70621.0,1617.0,1333.0,12400.0,8.49,https://www.goodreads.com/book/show/30263.Every_Which_Way_But_Dead,006057299X
76,9780307265432,The Road,,,Cormac McCarthy,Alfred A. Knopf,English,241,Hardcover,"['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Horror', 'Literature', 'Novels']","September 26, 2006",3.99,892643.0,58347.0,17000.0,516000.0,12.99,https://www.goodreads.com/book/show/6288.The_Road,0307265439
77,9780307269980,The Girl Who Played with Fire ,Millennium,2,Stieg Larsson,Alfred A. Knopf,English,503,Hardcover,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']","June 1, 2006",4.25,917136.0,37042.0,13200.0,273000.0,9.99,https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire,0307269981
